name_key,state,lat,lng
aaronsburg,PA,40.9042,-77.4513
abanda,AL,33.0916,-85.5270
abbeville,AL,31.5647,-85.2591
abbeville,SC,34.1785,-82.3777
abbeville,LA,29.9754,-92.1272
abbeville,MS,34.5034,-89.5025
abbeville,GA,31.9926,-83.3065
abbotsford,WI,44.9435,-90.3173
abbott,TX,31.8851,-97.0741
abbottstown,PA,39.8818,-76.9928
abbs valley,VA,37.2354,-81.4601
abbyville,KS,37.9706,-98.2030
abercrombie,ND,46.4470,-96.7296
aberdeen,SD,45.4647,-98.4681
aberdeen,MS,33.8283,-88.5547
aberdeen,WA,46.9752,-123.8114
aberdeen,NC,35.1346,-79.4355
aberdeen,MD,39.5164,-76.1745
aberdeen,OH,38.6717,-83.7709
aberdeen,IN,41.4418,-87.1166
aberdeen,ID,42.9441,-112.8384
aberdeen gardens,WA,47.0573,-123.7779
aberdeen proving ground,MD,39.4542,-76.1335
abernathy,TX,33.8268,-101.8521
abeytas,NM,34.4652,-106.8138
abie,NE,41.3341,-96.9497
abilene,TX,32.4545,-99.7381
abilene,KS,38.9245,-97.2280
abingdon,VA,36.7067,-81.9716
abingdon,MD,39.4635,-76.2731
abingdon,IL,40.8038,-90.4009
abington,MA,42.1158,-70.9566
abington,IN,39.7331,-84.9680
abiquiu,NM,36.2017,-106.3239
abita springs,LA,30.4735,-90.0203
abney crossroads,SC,34.5064,-80.5107
abram,TX,26.2116,-98.4119
abrams,WI,44.7796,-88.0604
absarokee,MT,45.5276,-109.4558
absecon,NJ,39.4236,-74.4930
absecon highlands,NJ,39.4427,-74.4702
acacia villas,FL,26.6457,-80.1104
acala,TX,31.3344,-105.9028
acalanes ridge,CA,37.9047,-122.0786
acampo,CA,38.1735,-121.2799
accident,MD,39.6257,-79.3200
accokeek,MD,38.6765,-77.0005
accomac,VA,37.7196,-75.6678
accord,NY,41.8015,-74.2303
accoville,WV,37.7647,-81.8269
aceitunas,PR,18.4455,-67.0669
acequia,ID,42.6683,-113.5973
achille,OK,33.8353,-96.3888
ackerly,TX,32.5251,-101.7158
ackerman,MS,33.3114,-89.1701
ackermanville,PA,40.8340,-75.2265
ackley,IA,42.5517,-93.0523
ackworth,IA,41.3642,-93.4723
acme,WA,48.7164,-122.2100
acomita lake,NM,35.0689,-107.6146
acorn,AR,34.6388,-94.2001
acosta,PA,40.1100,-79.0699
acres green,CO,39.5557,-104.8958
acton,CA,34.4961,-118.1839
acton,MT,45.9289,-108.6787
acushnet center,MA,41.6850,-70.9067
acworth,GA,34.0620,-84.6811
ada,OK,34.7679,-96.6691
ada,KS,39.1622,-97.8859
ada,OH,40.7681,-83.8252
ada,MN,47.2989,-96.5165
adair,OK,36.4364,-95.2734
adair,IA,41.5002,-94.6441
adair,OR,44.6707,-123.2160
adair,IL,40.4183,-90.4974
adairsville,GA,34.3708,-84.9212
adairville,KY,36.6750,-86.8582
adak,AK,51.9099,-176.5981
adams,WI,43.9552,-89.8165
adams,MA,42.6291,-73.1187
adams,TN,36.5828,-87.0651
adams,IL,39.8709,-91.1998
adams,NY,43.8102,-76.0230
adams,MN,43.5654,-92.7190
adams,ND,48.4205,-98.0740
adams,NE,40.4590,-96.5074
adams,OK,36.7546,-101.0752
adams,OR,45.7664,-118.5641
adams,IN,39.3825,-85.5613
adams center,NY,43.8700,-75.9887
adams lake,IN,41.5500,-85.3295
adams run,SC,32.7219,-80.3466
adamsburg,PA,40.3124,-79.6543
adamson,OK,34.9248,-95.5476
adamstown,PA,40.2445,-76.0647
adamstown,MD,39.3070,-77.4693
adamsville,AL,33.6023,-86.9715
adamsville,TN,35.2327,-88.3848
adamsville,PA,41.5111,-80.3715
adamsville,OH,40.0689,-81.8826
