state,lat,lng
AK,60.6274,-143.6342
AL,32.9625,-86.6278
AR,35.1870,-92.5903
AZ,33.8176,-111.8568
CA,36.1784,-119.4688
CO,39.3759,-105.3197
CT,41.5154,-72.8946
DC,38.9042,-77.0165
DE,39.2299,-75.5401
FL,28.3966,-82.0359
GA,32.7923,-83.6555
HI,20.3972,-156.4521
IA,41.9829,-93.1129
ID,44.0633,-114.9040
IL,40.8801,-88.7584
IN,40.1524,-86.2593
KS,38.4729,-98.1444
KY,37.8261,-85.3231
LA,30.7964,-91.6941
MA,42.2271,-71.4631
MD,39.0506,-76.7852
ME,44.6699,-69.3563
MI,43.2682,-84.6518
MN,45.6470,-93.5202
MO,38.4361,-92.4959
MS,32.7043,-89.4990
MT,46.4965,-111.9297
NC,35.4683,-79.5936
ND,47.4440,-99.7103
NE,41.1620,-97.8382
NH,43.3936,-71.5689
NJ,40.2326,-74.5714
NM,34.7973,-106.7135
NV,38.0452,-116.8994
NY,42.0167,-74.7423
OH,40.5099,-82.7081
OK,35.4989,-96.5631
OR,44.5379,-122.1317
PA,40.6928,-77.6452
PR,18.2686,-66.3535
RI,41.6967,-71.5092
SC,33.7675,-80.8805
SD,44.0505,-99.7534
TN,35.8075,-86.3669
TX,30.9579,-97.5512
UT,39.7892,-111.8091
VA,37.4769,-77.9048
VT,44.0015,-72.7418
WA,47.2951,-121.6454
WI,43.9308,-89.2168
WV,38.6136,-80.9567
WY,42.5998,-107.8280
