name,feed_url,homepage,source_lean,source_reputation,category,country,region
Reuters Top News,https://feeds.reuters.com/reuters/topNews,https://www.reuters.com,0.0,0.92,world,US,national
Reuters World News,https://feeds.reuters.com/Reuters/worldNews,https://www.reuters.com,0.0,0.92,world,US,national
Reuters Business,https://feeds.reuters.com/reuters/businessNews,https://www.reuters.com,0.0,0.92,business,US,national
Reuters Technology,https://feeds.reuters.com/reuters/technologyNews,https://www.reuters.com,0.0,0.92,tech,US,national
Reuters Politics,https://feeds.reuters.com/Reuters/PoliticsNews,https://www.reuters.com,0.0,0.92,politics,US,national
Associated Press Top,https://apnews.com/index.rss,https://apnews.com,0.0,0.93,world,US,national
BBC News - Home,http://feeds.bbci.co.uk/news/rss.xml,https://www.bbc.com/news,-0.1,0.9,world,GB,national
BBC News - World,http://feeds.bbci.co.uk/news/world/rss.xml,https://www.bbc.com/news/world,-0.1,0.9,world,GB,national
BBC News - Technology,http://feeds.bbci.co.uk/news/technology/rss.xml,https://www.bbc.com/news/technology,-0.1,0.9,tech,GB,national
BBC News - Business,http://feeds.bbci.co.uk/news/business/rss.xml,https://www.bbc.com/news/business,-0.1,0.9,business,GB,national
NPR News,https://feeds.npr.org/1001/rss.xml,https://www.npr.org,-0.3,0.85,world,US,national
NPR Politics,https://feeds.npr.org/1014/rss.xml,https://www.npr.org/sections/politics,-0.3,0.85,politics,US,national
NPR Business,https://feeds.npr.org/1006/rss.xml,https://www.npr.org/sections/business,-0.3,0.85,business,US,national
The Guardian World,https://www.theguardian.com/world/rss,https://www.theguardian.com,-0.4,0.82,world,GB,national
The Guardian US,https://www.theguardian.com/us-news/rss,https://www.theguardian.com/us-news,-0.4,0.82,politics,US,national
The Guardian Tech,https://www.theguardian.com/uk/technology/rss,https://www.theguardian.com/technology,-0.4,0.82,tech,GB,national
The New York Times - HomePage,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,https://www.nytimes.com,-0.3,0.86,world,US,national
The New York Times - World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,https://www.nytimes.com/section/world,-0.3,0.86,world,US,national
The New York Times - US,https://rss.nytimes.com/services/xml/rss/nyt/US.xml,https://www.nytimes.com/section/us,-0.3,0.86,politics,US,national
The New York Times - Politics,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,https://www.nytimes.com/section/politics,-0.3,0.86,politics,US,national
The New York Times - Business,https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,https://www.nytimes.com/section/business,-0.3,0.86,business,US,national
The New York Times - Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,https://www.nytimes.com/section/technology,-0.3,0.86,tech,US,national
The New York Times - Science,https://rss.nytimes.com/services/xml/rss/nyt/Science.xml,https://www.nytimes.com/section/science,-0.3,0.86,science,US,national
The Washington Post - World,https://feeds.washingtonpost.com/rss/world,https://www.washingtonpost.com/world,-0.3,0.84,world,US,national
The Washington Post - Politics,https://feeds.washingtonpost.com/rss/politics,https://www.washingtonpost.com/politics,-0.3,0.84,politics,US,national
The Washington Post - Business,https://feeds.washingtonpost.com/rss/business,https://www.washingtonpost.com/business,-0.3,0.84,business,US,national
CNN - Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,https://www.cnn.com,-0.4,0.78,world,US,national
CNN - World,http://rss.cnn.com/rss/cnn_world.rss,https://www.cnn.com/world,-0.4,0.78,world,US,national
CNN - Politics,http://rss.cnn.com/rss/cnn_allpolitics.rss,https://www.cnn.com/politics,-0.4,0.78,politics,US,national
CNN - Tech,http://rss.cnn.com/rss/cnn_tech.rss,https://www.cnn.com/business/tech,-0.4,0.78,tech,US,national
MSNBC - Top Stories,https://feeds.nbcnews.com/msnbc/public/news,https://www.msnbc.com,-0.6,0.7,politics,US,national
Vox,https://www.vox.com/rss/index.xml,https://www.vox.com,-0.5,0.75,politics,US,national
The Atlantic,https://www.theatlantic.com/feed/all/,https://www.theatlantic.com,-0.4,0.82,politics,US,national
Mother Jones,https://www.motherjones.com/feed/,https://www.motherjones.com,-0.7,0.7,politics,US,national
The Intercept,https://theintercept.com/feed/?lang=en,https://theintercept.com,-0.6,0.74,politics,US,national
Slate,https://slate.com/feeds/all.rss,https://slate.com,-0.5,0.72,politics,US,national
Wall Street Journal - World,https://feeds.a.dj.com/rss/RSSWorldNews.xml,https://www.wsj.com/news/world,0.2,0.86,world,US,national
Wall Street Journal - Markets,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/news/markets,0.2,0.86,business,US,national
Wall Street Journal - Business,https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml,https://www.wsj.com/news/business,0.2,0.86,business,US,national
